folder,input_size,eps,delta,test,output_single,max_depth,avg_depth,min_depth,max_variables,avg_variables,min_variables,number_of_paths,number_of_outputs,max_conditions,avg_conditions,min_conditions,time_all,output_all,time_single
svt_laplace,8,0.5,0.001,example_8.dip,"{ ""DP"": 1}",3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,269.86033352216083
svt_laplace,9,0.5,0.001,example_9.dip,"{ ""DP"": 1}",3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,329.02100920677185
svt_laplace,4,0.5,0.001,example_4.dip,"{ ""DP"": 1}",3,2.6,2,5,3.8,2,5,5,4,2.8,1,226.4289859930674,"{ ""DP"": 1}",29.229777018229168
svt_laplace,5,0.5,0.001,example_5.dip,"{ ""DP"": 1}",3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,TIMEOUT,N/A,47.749068895975746
svt_laplace,7,0.5,0.001,example_7.dip,"{ ""DP"": 1}",3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,131.3580527305603
svt_laplace,6,0.5,0.001,example_6.dip,"{ ""DP"": 1}",3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,85.61216648419698
svt_laplace,10,0.5,0.001,example_10.dip,"{ ""DP"": 1}",3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,TIMEOUT,N/A,400.2609604199727
svt_laplace,2,0.5,0.001,example_2.dip,"{ ""DP"": 1}",3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,9.503376245498657,"{ ""DP"": 1}",4.279743353525798
svt_laplace,3,0.5,0.001,example_3.dip,"{ ""DP"": 1}",3,2.5,2,4,3.25,2,4,4,3,2.25,1,56.715149323145546,"{ ""DP"": 1}",16.668352365493774
svt_laplace,1,0.5,0.001,example_1.dip,"{ ""DP"": 1}",2,2,2,2,2,2,2,2,1,1,1,1.0582819779713948,"{ ""DP"": 1}",1.0634506543477376
svt_laplace_max,4,0.5,0.001,example_4.dip,"{ ""DP"": 1}",3,2.6,2,5,3.8,2,5,5,4,2.8,1,273.69976592063904,"{ ""DP"": 1}",32.01395893096924
svt_laplace_max,2,0.5,0.001,example_2.dip,"{ ""DP"": 1}",3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,9.471038262049357,"{ ""DP"": 1}",5.085967302322388
svt_laplace_max,3,0.5,0.001,example_3.dip,"{ ""DP"": 1}",3,2.5,2,4,3.25,2,4,4,3,2.25,1,67.3948043982188,"{ ""DP"": 1}",16.210809389750164
svt_laplace_max,1,0.5,0.001,example_1.dip,"{ ""DP"": 1}",2,2,2,2,2,2,2,2,1,1,1,1.2107489903767903,"{ ""DP"": 1}",1.0621756712595622
svt,23,0.5,0.001,example_23.dip,N/A,3,2.9166666666666665,2,24,13.458333333333334,2,24,24,23,12.458333333333334,1,TIMEOUT,N/A,TIMEOUT
svt,3,0.5,0.001,nonprivate_example_3.dip,"{ ""DP"": -1}",2,1.5,1,4,3.25,2,4,4,3,2.25,1,1.276193618774414,"{ ""DP"": -1}",0.9356083869934082
svt,2,0.5,0.001,nonprivate_example_2.dip,"{ ""DP"": -1}",2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,0.9264184633890787,"{ ""DP"": -1}",0.9250272115071615
svt,22,0.5,0.001,example_22.dip,N/A,3,2.9130434782608696,2,23,12.956521739130435,2,23,23,22,11.956521739130435,1,TIMEOUT,N/A,TIMEOUT
svt,20,0.5,0.001,example_20.dip,N/A,3,2.9047619047619047,2,21,11.952380952380953,2,21,21,20,10.952380952380953,1,TIMEOUT,N/A,TIMEOUT
svt,21,0.5,0.001,example_21.dip,N/A,3,2.909090909090909,2,22,12.454545454545455,2,22,22,21,11.454545454545455,1,TIMEOUT,N/A,TIMEOUT
svt,19,0.5,0.001,example_19.dip,N/A,3,2.9,2,20,11.45,2,20,20,19,10.45,1,TIMEOUT,N/A,TIMEOUT
svt,25,0.5,0.001,example_25.dip,N/A,3,2.923076923076923,2,26,14.461538461538462,2,26,26,25,13.461538461538462,1,TIMEOUT,N/A,TIMEOUT
svt,24,0.5,0.001,example_24.dip,N/A,3,2.92,2,25,13.96,2,25,25,24,12.96,1,TIMEOUT,N/A,TIMEOUT
svt,18,0.5,0.001,example_18.dip,N/A,3,2.8947368421052633,2,19,10.947368421052632,2,19,19,18,9.947368421052632,1,TIMEOUT,N/A,TIMEOUT
svt,8,0.5,0.001,example_8.dip,"{ ""DP"": 1}",3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,74.59055916468303
svt,9,0.5,0.001,example_9.dip,"{ ""DP"": 1}",3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,104.82218861579895
svt,16,0.5,0.001,example_16.dip,"{ ""DP"": 1}",3,2.8823529411764706,2,17,9.941176470588236,2,17,17,16,8.941176470588236,1,TIMEOUT,N/A,548.3802259763082
svt,4,0.5,0.001,example_4.dip,"{ ""DP"": -1}",3,2.6,2,5,3.8,2,5,2,4,2.8,1,97.41238244374593,"{ ""DP"": -1}",13.868897040685018
svt,5,0.5,0.001,example_5.dip,"{ ""DP"": 1}",3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,328.40803933143616,"{ ""DP"": -1}",23.464009682337444
svt,17,0.5,0.001,example_17.dip,N/A,3,2.888888888888889,2,18,10.444444444444445,2,18,18,17,9.444444444444445,1,TIMEOUT,N/A,TIMEOUT
svt,15,0.5,0.001,example_15.dip,"{ ""DP"": 1}",3,2.875,2,16,9.4375,2,16,16,15,8.4375,1,TIMEOUT,N/A,447.8859593073527
svt,7,0.5,0.001,example_7.dip,"{ ""DP"": 1}",3,2.75,2,8,5.375,2,8,8,7,4.375,1,TIMEOUT,N/A,53.15298000971476
svt,6,0.5,0.001,example_6.dip,"{ ""DP"": 1}",3,2.7142857142857144,2,7,4.857142857142857,2,7,7,6,3.857142857142857,1,TIMEOUT,N/A,35.60430399576823
svt,14,0.5,0.001,example_14.dip,"{ ""DP"": 1}",3,2.8666666666666667,2,15,8.933333333333334,2,15,15,14,7.933333333333334,1,TIMEOUT,N/A,370.8992962837219
svt,10,0.5,0.001,example_10.dip,"{ ""DP"": 1}",3,2.8181818181818183,2,11,6.909090909090909,2,11,11,10,5.909090909090909,1,TIMEOUT,N/A,142.07722226778665
svt,2,0.5,0.001,example_2.dip,"{ ""DP"": 1}",3,2.3333333333333335,2,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,2.899972756703695,"{ ""DP"": 1}",1.7712550163269043
svt,3,0.5,0.001,example_3.dip,"{ ""DP"": -1}",3,2.5,2,4,3.25,2,4,4,3,2.25,1,18.922972281773884,"{ ""DP"": -1}",6.051917711893718
svt,11,0.5,0.001,example_11.dip,"{ ""DP"": 1}",3,2.8333333333333335,2,12,7.416666666666667,2,12,12,11,6.416666666666667,1,TIMEOUT,N/A,187.87805350621542
svt,13,0.5,0.001,example_13.dip,"{ ""DP"": 1}",3,2.857142857142857,2,14,8.428571428571429,2,14,14,13,7.428571428571429,1,TIMEOUT,N/A,296.0778729915619
svt,1,0.5,0.001,example_1.dip,"{ ""DP"": 1}",2,2,2,2,2,2,2,2,1,1,1,1.2543293635050456,"{ ""DP"": 1}",0.9688573678334554
svt,12,0.5,0.001,example_12.dip,"{ ""DP"": 1}",3,2.8461538461538463,2,13,7.923076923076923,2,13,13,12,6.923076923076923,1,TIMEOUT,N/A,240.75024088223776
svt_max,23,0.5,0.001,example_23.dip,N/A,3,2.9166666666666665,2,24,13.458333333333334,2,24,24,23,12.458333333333334,1,TIMEOUT,N/A,TIMEOUT
svt_max,3,0.5,0.001,nonprivate_example_3.dip,"{ ""DP"": 1}",2,1.5,1,4,3.25,2,4,4,3,2.25,1,1.4087648391723633,"{ ""DP"": -1}",0.9583269755045573
svt_max,2,0.5,0.001,nonprivate_example_2.dip,"{ ""DP"": 1}",2,1.3333333333333333,1,3,2.6666666666666665,2,3,3,2,1.6666666666666667,1,0.9467186133066813,"{ ""DP"": -1}",0.9558310508728027
svt_max,22,0.5,0.001,example_22.dip,N/A,3,2.9130434782608696,2,23,12.956521739130435,2,23,23,22,11.956521739130435,1,TIMEOUT,N/A,TIMEOUT
svt_max,20,0.5,0.001,example_20.dip,N/A,3,2.9047619047619047,2,21,11.952380952380953,2,21,21,20,10.952380952380953,1,TIMEOUT,N/A,TIMEOUT
svt_max,21,0.5,0.001,example_21.dip,N/A,3,2.909090909090909,2,22,12.454545454545455,2,22,22,21,11.454545454545455,1,TIMEOUT,N/A,TIMEOUT
svt_max,19,0.5,0.001,example_19.dip,N/A,3,2.9,2,20,11.45,2,20,20,19,10.45,1,TIMEOUT,N/A,TIMEOUT
svt_max,25,0.5,0.001,example_25.dip,N/A,3,2.923076923076923,2,26,14.461538461538462,2,26,26,25,13.461538461538462,1,TIMEOUT,N/A,TIMEOUT
svt_max,24,0.5,0.001,example_24.dip,N/A,3,2.92,2,25,13.96,2,25,25,24,12.96,1,TIMEOUT,N/A,TIMEOUT
svt_max,18,0.5,0.001,example_18.dip,N/A,3,2.8947368421052633,2,19,10.947368421052632,2,19,19,18,9.947368421052632,1,TIMEOUT,N/A,TIMEOUT
svt_max,8,0.5,0.001,example_8.dip,"{ ""DP"": 1}",3,2.7777777777777777,2,9,5.888888888888889,2,9,9,8,4.888888888888889,1,TIMEOUT,N/A,81.95399713516235
svt_max,9,0.5,0.001,example_9.dip,"{ ""DP"": 1}",3,2.8,2,10,6.4,2,10,10,9,5.4,1,TIMEOUT,N/A,114.02712265650432
svt_max,16,0.5,0.001,example_16.dip,"{ ""DP"": 1}",3,2.8823529411764706,2,17,9.941176470588236,2,17,17,16,8.941176470588236,1,TIMEOUT,N/A,561.6339830557505
svt_max,4,0.5,0.001,example_4.dip,"{ ""DP"": 1}",3,2.6,2,5,3.8,2,5,5,4,2.8,1,94.44559065500896,"{ ""DP"": -1}",12.646829922993978
svt_max,5,0.5,0.001,example_5.dip,"{ ""DP"": 1}",3,2.6666666666666665,2,6,4.333333333333333,2,6,6,5,3.3333333333333335,1,352.3249020576477,"{ ""DP"": -1}",23.516996304194134
svt_max,17,0.5,0.001,example_17.dip,N/A,3,2.888888888888889,2,18,10.444444444444445,2,18,18,17,9.444444444444445,1,TIMEOUT,N/A,TIMEOUT
